id,name,fixed acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,sulphates,alcohol,type,Taste,quality
1,Chardonnay,7.4,0,1.9,0.076,34,0.9978,0.56,9.4,Port,Balanced,1
2,Cabernet Sauvignon,7.8,0,2.6,0.098,67,0.9968,0.68,9.8,White,Sour,0
3,Merlot,7.8,0.04,2.3,0.092,54,0.997,0.65,9.8,Rose,Earthy,0
4,Pinot Noir,11.2,0.56,1.9,0.075,60,0.998,0.58,9.8,White,Bitter,1
5,Zinfandel,7.4,0,1.9,0.076,34,0.9978,0.56,9.4,Rose,Balanced,1
6,Sauvignon Blanc,7.4,0,1.8,0.075,40,0.9978,0.56,9.4,Red,Sour,1
7,Syrah,7.9,0.06,1.6,0.069,59,0.9964,0.46,9.4,Rose,Bitter,1
8,Malbec,7.3,0,1.2,0.065,21,0.9946,0.47,10,Rose,Balanced,0
9,Riesling,7.8,0.02,2,0.073,18,0.9968,0.57,9.5,White,Balanced,1
10,Grenache,7.5,0.36,6.1,0.071,102,0.9978,0.8,10.5,White,Sour,1
11,Sangiovese,6.7,0.08,1.8,0.097,65,0.9959,0.54,9.2,White,Earthy,0
12,Tempranillo,7.5,,6.1,0.071,102,0.9978,0.8,10.5,Red,Earthy,0
13,Moscato,5.6,0,1.6,0.089,59,0.9943,0.52,9.9,White,Earthy,0
14,Chenin Blanc,7.8,0.29,1.6,0.114,29,0.9974,1.56,9.1,Red,Earthy,0
15,Pinot Grigio,8.9,0.18,3.8,0.176,145,0.9986,0.88,9.2,White,Bitter,1
16,Viognier,8.9,0.19,3.9,0.17,148,0.9986,0.93,9.2,Port,Earthy,1
17,Nebbiolo,8.5,0.56,1.8,0.092,103,0.9969,0.75,10.5,Red,Sweet,1
18,Barbera,8.1,0.28,1.7,0.368,56,0.9968,1.28,9.3,Rose,Bitter,1
19,Gamay,7.4,0.08,4.4,0.086,29,0.9974,0.5,9,Port,Sour,1
20,Torrontes,7.9,0.51,1.8,0.341,56,0.9969,1.08,9.2,,Earthy,0
21,Gruner Veltliner,8.9,0.48,1.8,0.077,60,0.9968,0.53,9.4,Port,Earthy,0
22,Albarino,7.6,0.31,2.3,0.082,71,0.9982,0.65,9.7,White,Sour,0
23,Carmenere,7.9,0.21,1.6,0.106,37,0.9966,0.91,9.5,Port,Earthy,0
24,Petit Verdot,8.5,0.11,2.3,0.084,67,0.9968,0.53,9.4,White,Earthy,0
25,Marsanne,6.9,0.14,2.4,0.085,40,0.9968,0.63,9.7,White,Balanced,1
26,Roussanne,6.3,0.16,1.4,0.08,23,0.9955,0.56,9.3,Red,Bitter,0
27,Tannat,7.6,0.24,1.8,0.08,11,0.9962,0.59,9.5,White,Balanced,1
28,Carignan,7.9,0.21,1.6,0.106,37,,0.91,9.5,Rose,Sweet,1
29,Verdejo,7.1,0,1.9,0.08,35,,0.55,9.4,White,Sour,1
30,Semillon,7.8,0,2,0.082,16,0.9964,0.59,9.8,Rose,Balanced,0
31,Dolcetto,6.7,0.07,2.4,0.089,82,0.9958,0.54,10.1,White,Sour,1
32,Touriga Nacional,6.9,0,2.5,0.105,37,0.9966,0.57,10.6,White,Sour,0
33,Lambrusco,8.3,0.12,2.3,0.083,113,0.9966,0.66,9.8,Port,Earthy,0
34,Pedro Ximenez,6.9,0.12,10.7,0.073,83,0.9993,0.52,9.4,Rose,Earthy,1
35,Monastrell,5.2,0.25,1.8,0.103,50,0.9957,0.55,9.2,Red,Earthy,0
36,Fiano,7.8,0,5.5,0.086,18,0.9986,0.55,9.6,White,Sour,1
37,Prosecco,7.8,0.14,2.4,0.086,15,0.9975,0.6,10.8,Port,Balanced,0
38,Cava,8.1,0.28,2.1,0.066,30,0.9968,0.73,9.7,Port,Bitter,0
39,Madeira,5.7,0.09,1.5,0.172,19,0.994,0.48,9.8,Red,Sour,0
40,Port,7.3,0.36,5.9,0.074,87,0.9978,0.83,10.5,Red,Sour,1
41,Shiraz,7.3,0.36,5.9,0.074,87,0.9978,0.83,10.5,Rose,Sour,1
42,Glera,8.8,0.3,2.8,0.088,46,0.9976,0.51,9.3,Rose,Balanced,1
43,Macabeo,7.5,0.2,2.6,0.332,14,0.9968,0.9,10.5,White,Sweet,0
44,Moschofilero,8.1,0.22,2.2,0.069,23,0.9968,1.2,10.3,Rose,Balanced,1
45,Assyrtiko,6.8,0.02,1.8,0.05,11,0.9962,0.52,9.5,White,Bitter,0
46,Agiorgitiko,4.6,0.15,2.1,0.054,65,0.9934,0.56,13.1,Rose,Earthy,1
47,Aglianico,7.7,0.43,2.2,0.114,114,0.997,0.73,9.2,Rose,Balanced,0
48,Verdelho,8.7,0.52,1.6,0.113,37,0.9969,0.58,9.5,Red,Sweet,1
49,Vermentino,6.4,0.23,1.6,0.066,12,0.9958,0.56,9.2,Red,Sweet,1
50,Gewurztraminer,5.6,0.37,1.4,0.074,,0.9954,0.58,9.2,White,Balanced,0
51,Primitivo,8.8,0.26,1.7,0.074,23,0.9971,0.74,9.2,Port,Earthy,0
52,Blaufrankisch,6.6,0.04,2.2,0.069,15,0.9956,0.63,9.4,Red,Sour,1
53,Txakolina,6.6,0.04,2.1,0.068,14,0.9955,0.64,9.4,White,Bitter,1
54,Kerner,8.6,0.36,3,0.081,119,0.997,0.56,9.4,Rose,Balanced,1
55,Aligote,7.6,0.15,2.8,0.11,73,0.9955,0.63,10.2,Red,Sour,0
56,Baga,7.7,0.04,3.8,0.084,45,0.9978,0.53,9.5,Rose,Sour,0
57,Xinomavro,10.2,0.57,3.4,0.07,10,0.9971,0.63,9.6,Red,Earthy,1
58,Negroamaro,7.5,0.12,5.1,0.111,110,0.9983,0.77,9.4,Red,Bitter,0
59,Falanghina,7.8,0.18,2.3,0.076,54,0.9975,0.59,10,Rose,Balanced,0
60,Pecorino,7.3,0.31,2.4,0.074,46,0.9962,0.54,9.4,White,Sour,1
61,Loureiro,8.8,0.4,2.2,0.079,52,0.998,0.64,9.2,White,Sweet,1
62,Godello,7.7,0.49,1.8,0.115,112,0.9968,0.71,9.3,Rose,Sour,0
63,Trebbiano,7.5,0.16,1.9,0.085,35,0.9968,0.62,9.5,White,Earthy,1
64,Corvina,7,0.05,2,0.081,54,0.9966,0.57,9.8,White,Earthy,1
65,Cortese,7.2,0.05,4.65,,11,0.9962,0.39,10.9,Red,Sour,0
66,Barolo,7.2,0.05,4.65,0.086,11,0.9962,0.39,10.9,Port,Sour,1
67,Barbaresco,7.5,0.11,1.5,0.079,39,0.9968,0.58,9.6,Rose,Bitter,1
68,Valpolicella,6.6,0.07,1.6,0.076,15,0.9962,0.58,10.7,Rose,Sweet,1
69,Rosso di Montalcino,9.3,0.57,2,0.074,65,0.9969,0.79,10.7,Rose,Balanced,1
70,Franciacorta,8,0.05,1.9,0.074,19,0.9962,0.95,10.5,White,Sweet,0
71,Chianti,7.7,0.08,1.9,0.076,27,0.9967,0.54,9.5,,,1
72,Beaujolais,7.7,0.23,2.1,0.088,96,0.9962,0.48,9.5,Port,Earthy,1
73,Soave,7.7,0.22,1.9,0.084,94,0.9961,0.48,9.5,Red,Earthy,0
74,Orvieto,8.3,0.26,2.1,0.084,43,0.9976,0.53,9.2,Red,Sweet,1
75,Cote-Rotie,9.7,0.54,2.5,0.094,83,0.9984,0.82,9.6,Rose,Earthy,0
76,Chablis,8.8,0.64,2.2,0.093,42,0.9986,0.66,10.5,Red,Earthy,1
77,Pouilly-Fuisse,8.8,0.64,2.2,0.093,42,0.9986,0.66,10.5,Red,Sour,0
78,Saint-Emilion,6.8,0,2.4,0.104,30,0.9966,0.55,10.7,Red,,0
79,Pauillac,6.7,0.12,2,0.086,80,0.9958,0.52,10.1,Port,Sweet,0
80,Margaux,8.3,0.2,1.5,0.08,119,0.9972,1.12,9.1,White,Bitter,0
81,Graves,6.2,0.2,1.6,0.069,15,0.9958,0.56,9.2,Port,Earthy,0
82,Pomerol,7.8,0.7,1.9,0.464,67,0.9974,1.28,9.4,Port,Earthy,0
83,Sauternes,7.4,0.47,2,0.086,73,0.997,0.57,9.1,Red,Balanced,0
84,Champagne,7.3,0.26,1.8,0.401,51,0.9969,1.14,9.4,Port,Earthy,1
85,Vin Santo,6.3,0.48,1.8,0.069,61,0.9959,0.78,10.3,Rose,Sweet,0
86,Eiswein,6.9,0.15,2.2,0.076,40,0.9961,0.59,10.1,Port,Balanced,0
87,Tokaji,8.6,0.28,1.9,0.11,136,0.9972,1.95,9.9,Rose,Earthy,1
88,Chardonnay,7.7,0.26,1.9,0.062,31,0.9966,0.64,9.6,Rose,Sour,0
89,Cabernet Sauvignon,9.3,0.44,2.1,0.107,125,0.9978,1.22,9.5,Port,Sour,0
90,Merlot,7,0.08,1.8,0.076,24,0.9978,0.53,9,Red,Earthy,1
91,Pinot Noir,7.9,0.26,1.9,0.079,140,0.9964,0.54,9.5,Port,,0
92,Zinfandel,8.6,0.28,1.9,0.11,136,0.9972,1.95,9.9,Red,Balanced,1
93,Sauvignon Blanc,8.6,0.29,2,0.11,133,0.9972,1.98,9.8,White,Earthy,0
94,Syrah,7.7,0.26,1.9,0.062,31,0.9966,0.64,9.6,Red,Sour,0
95,Malbec,5,0.04,1.4,0.045,85,0.9938,0.48,10.5,White,Bitter,0
96,Riesling,4.7,0.17,2.3,0.058,106,0.9932,0.6,12.9,Red,Balanced,0
97,Grenache,6.8,0,3,0.102,23,0.9965,0.56,10.7,Red,Sweet,0
98,Sangiovese,7,0.25,2,0.07,22,0.9963,0.63,9.2,Rose,Earthy,1
99,Tempranillo,7.6,0.06,2.5,0.079,10,0.9967,0.56,9.8,Port,Sweet,1
100,Moscato,8.1,0.18,1.9,0.08,35,0.9972,0.59,9,Red,Balanced,1
101,Chenin Blanc,8.3,0.3,2.1,0.084,50,0.9972,0.61,10.2,White,Balanced,1
102,Pinot Grigio,7.8,0.3,1.9,0.075,22,0.9959,0.56,10.4,Rose,Sweet,1
103,Viognier,,0.18,1.9,0.08,35,0.9972,0.59,9,Red,Earthy,0
104,Nebbiolo,8.1,0.22,2.1,0.077,65,0.9967,0.51,9.2,White,,1
105,Barbera,7.2,0.24,2.2,0.07,36,0.996,0.48,9.4,Rose,Sweet,1
106,Gamay,8.1,0.22,2.1,0.077,65,0.9967,0.51,9.2,Port,Earthy,0
107,Torrontes,7.8,0.68,1.7,0.467,69,0.9973,1.31,9.3,Rose,Earthy,1
108,Gruner Veltliner,6.2,0.31,1.7,0.088,64,0.9969,0.79,9.3,Red,Sour,1
109,Albarino,8,0.53,2.5,0.091,80,0.9976,0.8,9.6,Port,Balanced,1
110,Carmenere,8.1,0.52,2,0.122,153,0.9969,0.69,9.3,Port,Bitter,0
111,Petit Verdot,7.8,0.19,1.8,0.104,47,0.9964,0.93,9.5,Red,Sweet,0
